num;name_rus;rating_new;origin;genre;rating_old;qty_views
1;Зеленая миля;9.1;США;фэнтези/ драма;8.9;692418
2;Побег из Шоушенка;9.1;США;драма;8.9;784326
3;Властелин колец: Возвращение короля;8.6;Новая Зеландия/ США;фэнтези/ приключения;8.8;481829
4;Властелин колец: Две крепости;8.6;Новая Зеландия/ США;фэнтези/ приключения;8.8;467607
5;Властелин колец: Братство Кольца;8.6;Новая Зеландия/ США;фэнтези/ приключения;8.8;516856
6;Форрест Гамп;8.9;США;комедия/ драма;8.6;634912
7;Интерстеллар;8.6;Великобритания/ Канада;фантастика/ драма;8.6;719320
8;Король Лев;8.8;США;мультфильм/ мюзикл;8.6;535531
9;Иван Васильевич меняет профессию;8.8;СССР;фантастика/ комедия;8.6;698617
10;Тайна Коко;8.6;США;мультфильм/ фэнтези;8.6;405673
11;Карты  деньги  два ствола;8.6;Великобритания;боевик/ комедия;8.6;408062
12;ВАЛЛ·И;8.3;США;мультфильм/ фантастика;8.6;483906
13;Криминальное чтиво;8.6;США;криминал/ драма;8.6;533908
14;Матрица;8.5;США/ Австралия;фантастика/ боевик;8.6;547014
15;Клаус;8.6;Испания/ Великобритания;мультфильм/ семейный;8.6;91101
16;Список Шиндлера;8.8;США;драма/ биография;8.6;368144
17;Начало;8.7;США/ Великобритания;фантастика/ боевик;8.5;801015
18;1+1;8.8;Франция;драма/ комедия;8.5;1303016
19;Унесённые призраками;8.4;Япония;аниме/ мультфильм;8.5;373930
20;Назад в будущее;8.6;США;фантастика/ комедия;8.5;482508
21;Операция «Ы» и другие приключения Шурика;8.7;СССР;комедия/ мелодрама;8.5;622286
22;Джентльмены удачи;8.5;СССР;драма/ комедия;8.5;494313
23;Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей;8.6;СССР;детектив/ криминал;8.5;165222
24;Пираты Карибского моря: Проклятие Черной жемчужины;8.3;США;фэнтези/ боевик;8.5;587881
25;В бой идут одни «старики»;8.7;СССР;военный/ драма;8.5;364674
26;Москва слезам не верит;8.4;СССР;драма/ мелодрама;8.5;413906
27;Остров проклятых;8.5;США;триллер/ детектив;8.5;587835
28;Большой куш;8.5;Великобритания/ США;криминал/ комедия;8.4;394601
29;Джентльмены;8.5;Великобритания/ США;криминал/ комедия;8.4;817239
30;Достучаться до небес;8.6;Германия;драма/ комедия;8.4;455812
31;Бойцовский клуб;8.6;США/ Германия;триллер/ драма;8.4;622492
32;...А зори здесь тихие;8.5;СССР;драма/ военный;8.4;195974
33;Шрэк;8;США/ Япония;мультфильм/ фэнтези;8.4;413789
34;Невидимая сторона;8.2;США;драма/ спорт;8.4;194114
35;Брат;8.2;Россия;драма/ криминал;8.4;730703
36;Душа;8.4;США;мультфильм/ фэнтези;8.4;317942
37;Остров сокровищ;8.2;СССР;мультфильм/ приключения;8.4;117163
38;12 разгневанных мужчин;8.5;США;драма/ детектив;8.4;107713
39;Один дома;8.2;США;комедия/ семейный;8.4;572153
40;Престиж;8.5;Великобритания/ США;фантастика/ триллер;8.4;522899
41;Темный рыцарь;8.5;США/ Великобритания;фантастика/ боевик;8.3;530261
42;Терминатор 2: Судный день;8.3;США/ Франция;фантастика/ боевик;8.3;367726
43;Игры разума;8.6;США;драма/ биография;8.3;426381
44;Любовь и голуби;8.3;СССР;мелодрама/ комедия;8.3;552936
45;Одержимость;8.3;США;драма/ музыка;8.3;266758
46;Собачье сердце;8.3;СССР;фантастика/ драма;8.3;242457
47;Назад в будущее 2;8.3;США;фантастика/ приключения;8.3;335462
48;Твоё имя;8.3;Япония;аниме/ мультфильм;8.3;157751
49;Кавказская пленница  или Новые приключения Шурика;8.5;СССР;комедия/ приключения;8.3;470286
50;Гарри Поттер и узник Азкабана;8.2;Великобритания/ США;фэнтези/ приключения;8.3;445882
51;Леон;8.7;Франция/ США;боевик/ триллер;8.3;520888
52;Гладиатор;8.6;США/ Великобритания;боевик/ история;8.3;455676
53;Брат 2;8.1;Россия/ США;боевик/ криминал;8.3;621017
54;Шерлок Холмс и доктор Ватсон: Знакомство;8.6;СССР;криминал/ детектив;8.3;133960
55;Гарри Поттер и философский камень;8.2;Великобритания/ США;фэнтези/ приключения;8.3;593908
56;Отступники;8.5;США;триллер/ драма;8.3;392723
57;Зеленая книга;8.4;США/ Китай;биография/ комедия;8.3;509491
58;Джанго освобожденный;8.2;США;вестерн/ боевик;8.3;480284
59;Волк с Уолл-стрит;7.9;США;драма/ криминал;8.3;726423
60;Они сражались за Родину;8.4;СССР;драма/ военный;8.3;140193
61;Молчание ягнят;8.3;США;триллер/ детектив;8.3;389428
62;Служебный роман;8.3;СССР;драма/ мелодрама;8.3;342445
63;Крестный отец;8.7;США;драма/ криминал;8.3;308040
64;Рататуй;8;США;мультфильм/ приключения;8.3;449383
65;Офицеры;8.5;СССР;драма/ военный;8.3;149232
66;Укрощение строптивого;8.4;Италия;мелодрама/ комедия;8.3;252659
67;Корпорация монстров;8.1;США;мультфильм/ фэнтези;8.3;361832
68;Райя и последний дракон;8.3;США;мультфильм/ фэнтези;8.3;206720
69;Звёздные войны: Эпизод 3 – Месть ситхов;8.1;США;фантастика/ боевик;8.3;279486
70;Ходячий замок;8.3;Япония;аниме/ мультфильм;8.3;272342
71;Стальной гигант;8.1;США;мультфильм/ фантастика;8.3;96488
72;Поймай меня  если сможешь;8.5;США/ Канада;криминал/ биография;8.3;435457
73;Титаник;8.4;США/ Мексика;мелодрама/ история;8.3;581159
74;Гран Торино;8.1;США/ Германия;драма;8.2;239442
75;Жизнь прекрасна;8.6;Италия;военный/ комедия;8.2;212442
76;Хоббит: Нежданное путешествие;8.1;Новая Зеландия/ США;фэнтези/ приключения;8.2;404497
77;Бриллиантовая рука;8.5;СССР;комедия/ приключения;8.2;504333
78;Омерзительная восьмерка;7.9;США;вестерн/ криминал;8.2;415138
79;Тайна третьей планеты;8.1;СССР;мультфильм/ фантастика;8.2;87931
80;Девчата;8.4;СССР;мелодрама/ комедия;8.2;350994
81;Гарри Поттер и Дары Смерти: Часть II;8.1;Великобритания/ США;фэнтези/ драма;8.2;436742
82;Пианист;8.5;Франция/ Польша;драма/ военный;8.2;251281
83;Шоу Трумана;8.3;США;драма/ комедия;8.2;357943
84;Американская история X;8.3;США;драма;8.2;304022
85;Головоломка;8;США;мультфильм/ семейный;8.2;400310
86;Судьба человека;8.4;СССР;драма/ военный;8.2;94374
87;Храброе сердце;8.3;США;история/ биография;8.2;228359
88;Тренер Картер;8.1;США/ Германия;биография/ спорт;8.2;113948
89;День сурка;8.1;США;фэнтези/ мелодрама;8.2;351677
90;Зверополис;8.3;США;мультфильм/ комедия;8.2;614958
91;В джазе только девушки;8.5;США;мелодрама/ комедия;8.2;256175
92;Эффект бабочки;8.2;США/ Канада;фантастика/ триллер;8.2;414881
93;Общество мертвых поэтов;8.2;США;драма/ комедия;8.2;162991
94;Мулан;8.1;США;мультфильм/ мюзикл;8.2;208700
95;Шрэк 2;7.7;США;мультфильм/ фэнтези;8.2;210277
96;Мемуары гейши;8;США/ Япония;драма/ мелодрама;8.2;123296
97;По соображениям совести;8;Австралия/ США;драма/ военный;8.2;207310
98;Ford против Ferrari;8.2;США;биография/ спорт;8.2;386126
99;Вверх;8;США;мультфильм/ драма;8.2;310272
100;Семь;8.3;США;триллер/ драма;8.2;397860
101;Принцесса Мононоке;8.2;Япония;аниме/ мультфильм;8.2;123274
102;Железный человек;7.9;США/ Канада;фантастика/ боевик;8.2;417962
103;Таксист;8.2;Корея Южная;история/ драма;8.2;36522
104;Аладдин;8.1;США;мультфильм/ мюзикл;8.2;240267
105;Семь жизней;8.2;США;драма/ мелодрама;8.2;282723
106;Назад в будущее 3;8.2;США;фантастика/ комедия;8.2;281182
107;Пробуждение;8.4;США;драма/ биография;8.2;139852
108;Звёздные войны: Эпизод 5 – Империя наносит ответный удар;8.1;США;фантастика/ боевик;8.2;233830
